,Severity,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Duration_sec
Severity,1.0,0.05925032697835211,0.03251332891612664,0.08921272757042059,0.07441866842760989,-0.13748583562231115,-0.011003131866253122,-0.06224805813374433,0.016886332617516406,0.09016383985379899,-0.011202662694429835,0.04906991451919794,0.07884707927794801,-0.03687600077439946,-0.005267737683850022,-0.11682161660535202,-0.006126169369037539,0.052592518790352434,-0.011108923359503626,-0.011153995895311623,-0.0019472507293408622,-0.04930295069336008,-0.05461935583700633,-0.005569190905682992,-0.11273766660414895,,-0.17655236527575416
Start_Lat,0.05925032697835211,1.0,0.05594869016136884,0.9999758432885474,0.005642189641400534,0.06379003331483797,-0.427762305123454,-0.46737132353612637,0.03080412271175326,-0.1914282288101618,-0.0914757043528031,0.035085505536691985,0.06758418886154706,0.02016688821457236,-0.002884587079860575,-0.0633253828464386,0.0035452723588226234,0.04702084644526949,-0.0035586933393970243,-9.846768995355843e-06,-0.0010898915048801739,-0.044182052479854406,-0.004403644769123417,-0.0038767660746229235,-0.06136543676010484,,0.013925922786351009
Start_Lng,0.03251332891612664,0.05594869016136884,1.0,0.005627092634809478,0.9999862380356982,0.04009290903216967,0.011890646286899734,0.0016814509847720065,0.1219237978402641,0.14091768431373455,0.020021840864643804,0.06683796090225141,0.04608743401117256,0.009428226521700864,-0.011475427071726172,0.043964759772438536,0.025835439925245663,-0.02125703757914681,0.007430049950431082,-0.017764489112111398,-0.0001377143423132605,0.005157932476796479,-0.025737932931842334,-0.000512962053201168,0.048674698054015364,,-0.014141752179566924
End_Lat,0.08921272757042059,0.9999758432885474,0.005627092634809478,1.0,0.005642044509480894,0.09001931087652523,-0.45128976009263494,-0.47147703395055673,0.042948046522074096,-0.26377218262283925,-0.11968760733859099,0.020149116373240416,0.07310642657854594,-0.0031368381947989355,-0.006876176577269157,-0.10996637878529551,0.014432809631996293,0.039344323133474975,-0.011210123236444183,0.001605036764345223,-0.0025244516056767397,-0.09751004830837903,-0.014212061195033312,-0.01021749253667851,-0.042700121907952755,,0.015707577251560703
End_Lng,0.07441866842760989,0.005642189641400534,0.9999862380356982,0.005642044509480894,1.0,0.09480036990465426,0.04723985248580861,0.04110035627366317,0.10168749828544758,0.1564478531203121,0.04372357307784847,0.08524613627935666,0.03424441294765192,0.01902950962069469,-0.011693281414063148,0.05737436532725867,0.029994994430569966,-0.006560596996562002,0.014275433942957369,-0.014078495826243945,-0.00013866676292050148,0.022349239538888278,-0.022042366425549537,-0.000622761178545029,0.049952306514463155,,-0.01382445393539873
Distance(mi),-0.13748583562231115,0.06379003331483797,0.04009290903216967,0.09001931087652523,0.09480036990465426,1.0,-0.05794562212073935,-0.010105963998077507,-0.018672331481658363,-0.12508038306898742,-0.008573035337313547,-0.004647134972836491,-0.03303674571932507,-0.03946889657139094,-0.001912568499432262,-0.15422753895362937,-0.025681622824671242,0.09145991970046652,-0.010699211200931109,-0.02660287985853633,-0.002169148805675158,-0.04368740504262303,-0.04953378522281488,-0.006144265567792977,-0.2437673008952106,,0.4034760882348196
Temperature(F),-0.011003131866253122,-0.427762305123454,0.011890646286899734,-0.45128976009263494,0.04723985248580861,-0.05794562212073935,1.0,0.9987706110548866,-0.3305538976618758,-0.003629229347806442,0.22394021042654416,0.08764231293177041,-0.1241673024090233,0.0031903533535652074,0.0024343121240499085,0.059138389646526845,0.0004733943091019303,-0.02384010738431648,0.007133816433338813,0.002325367583750701,1.6337790804243574e-05,0.03465751886633655,0.005187910726185641,0.0042319882379708565,0.04657155279113316,,-0.0236811884377575
Wind_Chill(F),-0.06224805813374433,-0.46737132353612637,0.0016814509847720065,-0.47147703395055673,0.04110035627366317,-0.010105963998077507,0.9987706110548866,1.0,-0.3241947233500057,-0.016986401901991976,0.23572417809805682,0.04220948570887902,-0.13900347044597522,0.0036701403631113115,0.004060908923114574,0.05878964127423003,-0.003345816893342983,-0.03261489307186975,0.008488744754773863,0.0034366881822299965,0.00023341828652931914,0.04277974025764617,0.008234480894314068,0.005869985346036166,0.0248036760691338,,0.01708030834945689
Humidity(%),0.016886332617516406,0.03080412271175326,0.1219237978402641,0.042948046522074096,0.10168749828544758,-0.018672331481658363,-0.3305538976618758,-0.3241947233500057,1.0,0.057485976620940876,-0.4653687764900287,-0.1984295860662941,0.37120486973428296,-0.009022266550415915,-0.005337385383831214,-0.028369207180059072,0.0013231001797655414,-0.0008487739278743241,-0.008223601034561202,-0.0021638543510683916,0.0010652973115419114,-0.009542127053982297,-0.01545611383956301,-0.0033838627345834306,-0.014662989348701718,,-0.021344401149539543
Pressure(in),0.09016383985379899,-0.1914282288101618,0.14091768431373455,-0.26377218262283925,0.1564478531203121,-0.12508038306898742,-0.003629229347806442,-0.016986401901991976,0.057485976620940876,1.0,0.06728205831225893,-0.0001368560251524285,0.007174636827300728,0.02486115246206829,-0.0007772477141825731,0.05286328982661878,0.007795050293028546,0.026762862559114413,-0.001657755304018114,0.017204398502778356,0.0018289458346478615,0.047023599253936205,-0.0005582361234171215,0.00740332957490551,0.05311470633596147,,-0.13935190711500386
Visibility(mi),-0.011202662694429835,-0.0914757043528031,0.020021840864643804,-0.11968760733859099,0.04372357307784847,-0.008573035337313547,0.22394021042654416,0.23572417809805682,-0.4653687764900287,0.06728205831225893,1.0,0.055223576386316496,-0.4459245189431864,0.011155949443991627,0.00407728526498749,0.04400293730832833,0.0016706202497188624,-0.010306808276431873,0.007158842915754035,0.0026399182208811894,0.0003568685960756702,0.020423691001305616,0.008038749715424804,0.004581734297983211,0.03082248320104104,,0.01185501349032203
Wind_Speed(mph),0.04906991451919794,0.035085505536691985,0.06683796090225141,0.020149116373240416,0.08524613627935666,-0.004647134972836491,0.08764231293177041,0.04220948570887902,-0.1984295860662941,-0.0001368560251524285,0.055223576386316496,1.0,0.08334924217623106,0.0023123450045329655,0.0003459477043584993,0.031071667591515133,0.002674731683142554,0.00933588080556038,0.003178339941237568,-0.0010083106948038192,0.00015424535947570413,0.018670371340857014,0.00021340393084864255,0.00044444529915073453,0.02305479729442413,,-0.04094995177051183
Precipitation(in),0.07884707927794801,0.06758418886154706,0.04608743401117256,0.07310642657854594,0.03424441294765192,-0.03303674571932507,-0.1241673024090233,-0.13900347044597522,0.37120486973428296,0.007174636827300728,-0.4459245189431864,0.08334924217623106,1.0,-0.0021611834493139043,-0.0023998294431057856,-0.017999915552525607,5.808850120218687e-05,0.01865990469740353,-0.0025144396260241082,-0.0032597008098983484,-0.00011351233929793909,-0.009772681816770656,-0.01347749913768211,-0.0025961765982454327,-0.007870598693631653,,-0.0646673971361706
Amenity,-0.03687600077439946,0.02016688821457236,0.009428226521700864,-0.0031368381947989355,0.01902950962069469,-0.03946889657139094,0.0031903533535652074,0.0036701403631113115,-0.009022266550415915,0.02486115246206829,0.011155949443991627,0.0023123450045329655,-0.0021611834493139043,1.0,0.005700224745042337,0.14935106813014348,0.0062869635096962475,-0.026109223484666058,0.013778232193614405,0.049738616480725355,0.00018414511663634076,0.1513453157565251,0.033781680912893075,0.023715698088939315,0.10631604305996971,,-0.006952150731708249
Bump,-0.005267737683850022,-0.002884587079860575,-0.011475427071726172,-0.006876176577269157,-0.011693281414063148,-0.001912568499432262,0.0024343121240499085,0.004060908923114574,-0.005337385383831214,-0.0007772477141825731,0.00407728526498749,0.0003459477043584993,-0.0023998294431057856,0.005700224745042337,1.0,0.01206966355698427,0.00038613750884570054,-0.004332731780739309,0.014515113322599886,0.0014108332937080147,-0.00012106456624291937,0.004687933785571378,0.019755768685684502,0.6798864751571826,-0.004462155687146104,,0.0027952219456180943
Crossing,-0.11682161660535202,-0.0633253828464386,0.043964759772438536,-0.10996637878529551,0.05737436532725867,-0.15422753895362937,0.059138389646526845,0.05878964127423003,-0.028369207180059072,0.05286328982661878,0.04400293730832833,0.031071667591515133,-0.017999915552525607,0.14935106813014348,0.01206966355698427,1.0,0.0579968158085806,-0.0877373095717119,0.061262974417440205,0.17834191782263364,0.000636979906870077,0.1699593559454805,0.11648513463964072,0.03803233909908885,0.477015185259535,,-0.03862328250221987
Give_Way,-0.006126169369037539,0.0035452723588226234,0.025835439925245663,0.014432809631996293,0.029994994430569966,-0.025681622824671242,0.0004733943091019303,-0.003345816893342983,0.0013231001797655414,0.007795050293028546,0.0016706202497188624,0.002674731683142554,5.808850120218687e-05,0.0062869635096962475,0.00038613750884570054,0.0579968158085806,1.0,-0.009282905354237979,0.006474094125918652,0.003192278193977989,0.0022655596217695914,-0.0028564906744941404,0.03069937671551156,0.0028293302494430787,0.07198366374701404,,-0.012424689064984793
Junction,0.052592518790352434,0.04702084644526949,-0.02125703757914681,0.039344323133474975,-0.006560596996562002,0.09145991970046652,-0.02384010738431648,-0.03261489307186975,-0.0008487739278743241,0.026762862559114413,-0.010306808276431873,0.00933588080556038,0.01865990469740353,-0.026109223484666058,-0.004332731780739309,-0.0877373095717119,-0.009282905354237979,1.0,-0.004203429989188735,-0.009003674564968017,0.012684529018191296,-0.03888459847581952,-0.036773894233924354,-0.0048396105125476305,-0.10476606198101869,,0.027465514177121456
No_Exit,-0.011108923359503626,-0.0035586933393970243,0.007430049950431082,-0.011210123236444183,0.014275433942957369,-0.010699211200931109,0.007133816433338813,0.008488744754773863,-0.008223601034561202,-0.001657755304018114,0.007158842915754035,0.003178339941237568,-0.0025144396260241082,0.013778232193614405,0.014515113322599886,0.061262974417440205,0.006474094125918652,-0.004203429989188735,1.0,0.003963747652806991,-0.00028581506125212113,0.017013842902040506,0.025647061104975596,0.012312992236762911,0.029821352772399494,,-0.00041042276692242267
Railway,-0.011153995895311623,-9.846768995355843e-06,-0.017764489112111398,0.001605036764345223,-0.014078495826243945,-0.02660287985853633,0.002325367583750701,0.0034366881822299965,-0.0021638543510683916,0.017204398502778356,0.0026399182208811894,-0.0010083106948038192,-0.0032597008098983484,0.049738616480725355,0.0014108332937080147,0.17834191782263364,0.003192278193977989,-0.009003674564968017,0.003963747652806991,1.0,-0.0005307339608754458,0.11790669242280255,0.007048042636572105,0.004995606086050133,0.057798643417963654,,-0.0052182293627611835
Roundabout,-0.0019472507293408622,-0.0010898915048801739,-0.0001377143423132605,-0.0025244516056767397,-0.00013866676292050148,-0.002169148805675158,1.6337790804243574e-05,0.00023341828652931914,0.0010652973115419114,0.0018289458346478615,0.0003568685960756702,0.00015424535947570413,-0.00011351233929793909,0.00018414511663634076,-0.00012106456624291937,0.000636979906870077,0.0022655596217695914,0.012684529018191296,-0.00028581506125212113,-0.0005307339608754458,1.0,-0.0005009296608385579,0.003483284352028754,0.0034589171456840526,-0.002301539076014777,,-0.0003112340857500494
Station,-0.04930295069336008,-0.044182052479854406,0.005157932476796479,-0.09751004830837903,0.022349239538888278,-0.04368740504262303,0.03465751886633655,0.04277974025764617,-0.009542127053982297,0.047023599253936205,0.020423691001305616,0.018670371340857014,-0.009772681816770656,0.1513453157565251,0.004687933785571378,0.1699593559454805,-0.0028564906744941404,-0.03888459847581952,0.017013842902040506,0.11790669242280255,-0.0005009296608385579,1.0,0.035277915172583926,0.013110738653737273,0.12481848516445643,,0.003223457219050001
Stop,-0.05461935583700633,-0.004403644769123417,-0.025737932931842334,-0.014212061195033312,-0.022042366425549537,-0.04953378522281488,0.005187910726185641,0.008234480894314068,-0.01545611383956301,-0.0005582361234171215,0.008038749715424804,0.00021340393084864255,-0.01347749913768211,0.033781680912893075,0.019755768685684502,0.11648513463964072,0.03069937671551156,-0.036773894233924354,0.025647061104975596,0.007048042636572105,0.003483284352028754,0.035277915172583926,1.0,0.026379500494636533,-0.048473914039572914,,-0.002282452718815581
Traffic_Calming,-0.005569190905682992,-0.0038767660746229235,-0.000512962053201168,-0.01021749253667851,-0.000622761178545029,-0.006144265567792977,0.0042319882379708565,0.005869985346036166,-0.0033838627345834306,0.00740332957490551,0.004581734297983211,0.00044444529915073453,-0.0025961765982454327,0.023715698088939315,0.6798864751571826,0.03803233909908885,0.0028293302494430787,-0.0048396105125476305,0.012312992236762911,0.004995606086050133,0.0034589171456840526,0.013110738653737273,0.026379500494636533,1.0,0.01200533626983987,,0.0013268008291501833
Traffic_Signal,-0.11273766660414895,-0.06136543676010484,0.048674698054015364,-0.042700121907952755,0.049952306514463155,-0.2437673008952106,0.04657155279113316,0.0248036760691338,-0.014662989348701718,0.05311470633596147,0.03082248320104104,0.02305479729442413,-0.007870598693631653,0.10631604305996971,-0.004462155687146104,0.477015185259535,0.07198366374701404,-0.10476606198101869,0.029821352772399494,0.057798643417963654,-0.002301539076014777,0.12481848516445643,-0.048473914039572914,0.01200533626983987,1.0,,-0.0989219699928826
Turning_Loop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration_sec,-0.17655236527575416,0.013925922786351009,-0.014141752179566924,0.015707577251560703,-0.01382445393539873,0.4034760882348196,-0.0236811884377575,0.01708030834945689,-0.021344401149539543,-0.13935190711500386,0.01185501349032203,-0.04094995177051183,-0.0646673971361706,-0.006952150731708249,0.0027952219456180943,-0.03862328250221987,-0.012424689064984793,0.027465514177121456,-0.00041042276692242267,-0.0052182293627611835,-0.0003112340857500494,0.003223457219050001,-0.002282452718815581,0.0013268008291501833,-0.0989219699928826,,1.0
